cpf,name,date_of_birth,salary_range,phone
349037363,Pedro Fontes Meirelles,1980-09-13,12000+,(13) 7086-2781
525763808,Beatriz Carvalho Ferri,1968-05-28,5000-8000,(79) 9097-9749
313667135,Marta Justi Perez,1979-03-24,12000+,(15) 8424-7914
484108149,Sinezio Fonseca Lima,1973-10-14,5000-8000,(21) 7434-4745
357216979,Zacarias Barbosa Reis,1960-05-30,8000-12000,(86) 7306-5724
425111571,Luiz Meirelles Rossi,1966-08-26,12000+,(12) 8224-5646
277149578,Paulo Machado Martinelli,1968-06-21,0-2000,(12) 7937-7188
334358351,Lara Uehara Mello,1990-02-25,5000-8000,(17) 8085-4467
359495610,Etori Leite Prado,2003-12-18,8000-12000,(17) 9330-7396
594535081,Zacarias Moreira Araujo,1991-05-19,12000+,(79) 7967-7657
481033277,Amanda Flora Garcia,1980-08-13,12000+,(12) 7630-3876
432744411,Isadora Villasboas Okada,1961-03-10,5000-8000,(19) 8015-7531
523216257,Juliana Lima Freitas,1960-10-25,8000-12000,(13) 9323-2614
290815140,Giulia Moreno Lozzano,1996-02-19,8000-12000,(21) 9347-2635
570808499,Carol Pinheiro Almeida,1975-07-04,2000-5000,(79) 8363-3838
527980882,Amanda Queiroz Gomes,1969-01-14,12000+,(12) 7476-5784
256946887,Cristina Fiore Duarte,1963-05-31,12000+,(79) 9348-8443
289968945,Daniele de Marchi Ferraz,2001-10-08,2000-5000,(74) 8621-8361
429200778,Renata Lopes Schneider,1993-08-17,2000-5000,(86) 8745-5624
237900844,Carla Kropf Sato,1994-03-12,2000-5000,(19) 8302-2685
292184495,Vitor Arcuri Antonelli,1969-06-30,8000-12000,(74) 7388-2393
220831107,Amanda Flora Ambrosio,1979-02-06,2000-5000,(16) 7546-1653
469205479,Jennifer Moreira Moraes,1998-06-05,12000+,(17) 9119-5799
225969066,Miquel Perez Fiore,1981-09-08,0-2000,(19) 7393-4546
518076225,Zacarias Bianchi Gomes,1968-08-06,8000-12000,(12) 9045-6145
280445214,Mario Lins Gomes,1976-01-05,0-2000,(86) 7344-7128
559770343,Juliano Barros Meirelles,1986-07-15,2000-5000,(12) 9791-9466
266753658,Vitoria Gonçalves Ramos,2002-07-20,5000-8000,(79) 8840-8199
215624771,Almir Caruso Schmidt,1966-05-13,5000-8000,(86) 7805-9387
290869649,Frederico Quaresma Lozzano,1979-10-31,0-2000,(74) 7849-8343
528516157,Raquel Weiss Manoel,1977-10-30,8000-12000,(13) 9514-9518
320584635,Rafael Campos Weiss,1979-09-01,8000-12000,(13) 7449-3753
253407175,Marcelo Schneider Fontes,1966-02-07,0-2000,(15) 9629-5722
552393869,Marta Lopes Varella,1989-03-21,0-2000,(21) 8318-7351
528861301,Matheus Reis Milani,1962-05-05,8000-12000,(19) 8728-1188
300778391,Alberto Manoel Varella,1969-11-22,2000-5000,(74) 7416-2481
532569845,Sinezio Moreno Fernandes,1968-03-15,5000-8000,(13) 7061-3152
348860350,Deisemara Ruberti Vieira,1980-07-27,8000-12000,(86) 7485-1567
536664170,Rita Duarte Luca,1991-12-08,2000-5000,(15) 8420-2266
271733305,Laura Queiroz Andrade,1992-04-11,0-2000,(86) 9280-8177
489458883,Amanda Nogueira Padovani,1964-07-14,0-2000,(19) 8472-6873
268333938,Breno Nogueira da Silva,1982-06-25,8000-12000,(12) 8937-9969
463979048,Andreia da Silva Weiss,2002-10-15,12000+,(74) 8729-5726
502579053,Isabela Lins Schmidt,1960-04-23,0-2000,(15) 7301-8488
582685401,Clara Bastos Lozzano,1961-03-29,0-2000,(12) 7908-5325
334286696,Simone Pinheiro Olimpio,1992-08-02,0-2000,(31) 9614-9138
336843882,Yuri Wainer Nardoni,1988-04-23,2000-5000,(12) 7559-9549
545178899,Tiago Girardi Ferreira,1973-06-19,12000+,(21) 9359-5615
463585761,Fabio Lozzano Olimpio,1989-06-08,8000-12000,(19) 9437-4656
427119490,Raquel Barros Almeida,1964-07-09,5000-8000,(74) 7687-3643
288858645,Caio Prado Wainer,1961-11-05,5000-8000,(16) 9515-2118
559852930,Carlos Lima Pereira,1979-03-18,8000-12000,(21) 8249-1216
344251966,Charles Moreira Melo,1968-02-17,8000-12000,(12) 9758-4346
349870573,Jennifer Muller Pelegrino,1963-04-27,2000-5000,(74) 8352-4766
365365344,Marcelo Alves Miranda,1966-11-19,2000-5000,(21) 9470-6153
255083063,Cristina Rocha Reis,2003-12-31,12000+,(21) 7252-5958
274523926,Marcia Cardoso Toffoli,1970-06-07,12000+,(31) 8078-3586
339763065,Mauricio Santana Lopes,1977-01-21,2000-5000,(19) 8145-2141
352429231,Vitor Watanabe Borges,1976-02-05,8000-12000,(12) 7096-3499
565549978,Everton Ferretti Medeiros,1977-08-04,12000+,(31) 9846-6492
386887127,Mariana Rocha Morelli,2003-06-28,5000-8000,(21) 7666-4549
255160596,Renato Martinelli Almeida,1969-04-15,0-2000,(79) 7802-3929
430775257,Carla Fonseca Gonçalves,1972-03-08,5000-8000,(17) 9789-6775
273809718,Caio Duarte Rodrigues,1963-02-08,0-2000,(86) 9197-3136
383508723,Lucia Pierri Quaresma,1983-09-25,2000-5000,(74) 7415-9114
262674543,Renata Gentili Castro,1973-11-22,0-2000,(74) 8722-9162
273262866,Mariana Amaral Ramos,1980-07-16,5000-8000,(12) 7537-5964
477096312,Rafael Carvalho Oliveira,1968-02-27,2000-5000,(86) 7142-6564
357506277,Danilo Moreira Okada,1960-06-22,8000-12000,(31) 8144-6134
239638779,Renata Cardoso Araujo,1985-11-01,2000-5000,(15) 9396-1473
288308139,Julia Castro Nogueira,1990-10-13,12000+,(74) 9349-4992
523659952,Lucas Teles Lozzano,1988-01-15,5000-8000,(16) 8008-8556
571464114,Alexandre Mantovani Sato,1982-12-26,8000-12000,(13) 9025-3981
234187295,Leticia Castro Araujo,1995-07-18,2000-5000,(31) 8827-2855
205043127,Mario Bastos Prado,1968-04-01,2000-5000,(31) 7633-1189
488700903,Almir Sato Correa,1988-08-01,5000-8000,(21) 8764-8374
286050865,Guilherme Rocha Gomes,2003-06-18,12000+,(86) 7589-7415
501768023,Zacarias Moreira Dias,1965-11-02,2000-5000,(79) 9439-5331
339562119,Julio Bezerra Weiss,1967-12-18,12000+,(74) 7618-9894
592092937,Cristina Vilar Viana,1973-06-06,5000-8000,(13) 8615-4556
427490703,Raquel Mendes Oliveira,1989-01-27,8000-12000,(12) 8780-5144
239340809,Simone Viana Martinelli,1968-10-15,0-2000,(13) 7295-4643
471927923,Antonio Rocha Miranda,2001-09-11,5000-8000,(86) 9082-8394
352322753,Daniele Morelli Nunes,1997-05-08,2000-5000,(79) 8013-9799
514614218,Regina Wainer Teteshi,1969-06-27,2000-5000,(74) 7122-4292
280459789,Brenda Justi Lopes,2002-07-26,8000-12000,(21) 7096-3517
489595052,Mario Harper Lorenzetti,2000-07-30,8000-12000,(17) 9470-9248
425122659,Breno Ribeiro Borges,1979-02-11,12000+,(19) 8880-9184
504086501,Alessandra Morelli Simom,1983-01-23,5000-8000,(13) 7454-5149
281374415,Luciane Watanabe Arcuri,2002-02-20,12000+,(13) 7119-3393
293721937,Isabela Stefanelli Rodrigues,1976-03-25,5000-8000,(19) 9230-4545
340659532,Daniel Bezerra Harper,1974-02-02,8000-12000,(19) 7142-1874
256535502,Vinicius Silvestri Campos,1997-07-11,0-2000,(21) 9664-2828
441943000,Heloisa Nunes Marques,2003-01-29,0-2000,(16) 7186-9945
483240785,Daniel Rodrigues Olimpio,1997-12-05,5000-8000,(79) 7194-5223
232939546,Rafael Lombardi Perez,2000-10-18,5000-8000,(21) 9668-8924
330838661,Nicole Quaresma Rizzo,1988-04-17,12000+,(74) 8642-3836
379254378,Alexandre Gomes Colombo,1974-08-28,0-2000,(13) 8502-8211
317352991,Luciana Nicoletti Gomes,1987-07-05,2000-5000,(86) 8985-8547
270411901,Luiz Pierri Pereira,1972-03-13,8000-12000,(19) 9166-1219
215454125,Daniel Meirelles Almeida,1989-08-10,5000-8000,(79) 8066-1611
438388162,Mario Moraes Ruberti,1984-08-15,5000-8000,(86) 9507-6498
237461071,Wilson Simom Shutz,1982-12-27,8000-12000,(16) 8221-3598
409521797,Osvaldo Schmidt Uehara,1969-07-26,12000+,(17) 9733-6698
482166017,Isadora Milani Moreira,1988-01-24,8000-12000,(17) 9778-5845
314038029,Luciane Moreno Girardi,1982-05-30,8000-12000,(74) 9653-6862
534020387,Antonio Amorim Okada,1968-06-03,5000-8000,(74) 8328-8412
557122533,Renata Teles Ruberti,1963-07-16,12000+,(86) 9687-3192
328966691,Juliana Mendes Justi,1977-08-30,0-2000,(13) 8239-4354
550491562,Poliana Correa Nunes,1967-12-31,12000+,(17) 7512-6671
459853048,Maria Viana Batista,1961-08-03,5000-8000,(12) 7684-6755
298940930,Osvaldo Monteiro Martinelli,1971-06-02,8000-12000,(12) 9520-9518
429919334,Gustavo Nogueira Costa,1991-08-24,5000-8000,(74) 9171-2649
481854161,Julio Ribeiro Garcia,1962-10-21,8000-12000,(17) 8955-3424
234964318,Frederico Nascimento Borges,1989-06-09,8000-12000,(86) 7850-3722
218073239,Guilherme Perez Moreno,1988-04-27,8000-12000,(74) 7304-7152
474734554,Renata Padovani Nogueira,1975-11-26,0-2000,(74) 7489-7398
391701462,Raquel Ambrosio Eller,1964-06-12,12000+,(13) 7156-4691
580893342,Fernanda Simas Ribeiro,2003-11-19,8000-12000,(12) 9877-8422
292182415,Pablo Lorenzetti Fernandes,1965-09-24,2000-5000,(12) 9745-8619
247110426,Luciana Pierri Cunha,1979-05-01,12000+,(16) 7279-1695
502271360,Amabile Antonelli Amorim,1972-08-18,2000-5000,(13) 9732-5823
462434810,Francisco Morelli Schmidt,1980-01-24,8000-12000,(74) 9483-8132
216611456,Daiane Mello Lins,1965-04-15,0-2000,(74) 9613-1683
492232899,Gabriela Fonseca Machado,1992-06-20,0-2000,(16) 8792-8533
268468227,Julia Caruso Viana,1993-12-10,0-2000,(74) 8022-1241
293404309,Osvaldo Quaresma Shutz,1965-03-21,12000+,(79) 9087-4875
543478909,Carol Ambrosio Reis,1967-10-18,2000-5000,(86) 7249-1841
390429329,Luciana Vieira Antonelli,1973-07-23,0-2000,(31) 8087-5348
238159068,Renato Prado Romano,1993-06-30,2000-5000,(15) 8946-9341
374197094,Joao Klein Amaral,1983-10-15,5000-8000,(17) 7316-4186
485968520,Daniel Lozzano Lorenzetti,1982-12-17,8000-12000,(12) 8046-8148
366944858,Amanda Cunha Santos,1960-07-07,5000-8000,(17) 9507-1895
246825683,Clara Bianchi Antonelli,1982-11-27,12000+,(79) 9201-2548
591929245,Gustavo Gentili Padovani,1968-04-04,8000-12000,(13) 8032-3337
558519165,Andreia Ruberti Bianchi,2002-05-26,0-2000,(21) 8107-5176
432587271,Mariana Duarte Monteiro,1990-11-16,0-2000,(13) 7595-5843
515790859,Cristiane Nascimento Padovani,1971-09-14,2000-5000,(12) 7831-5346
250845982,Enrico Melo Medeiros,1963-06-14,0-2000,(86) 7425-1861
596337935,Julio Olimpio Teles,1963-01-14,8000-12000,(17) 9024-2467
401151525,Luciane Ambrosio Almeida,1984-11-11,5000-8000,(16) 9497-8715
391671165,Rafael Ribeiro da Silva,1969-11-04,5000-8000,(79) 7009-3334
526536120,Alessandra Quaresma Fonseca,1980-03-28,8000-12000,(19) 8117-9426
444058155,Luana Medeiros Romano,1965-04-20,8000-12000,(15) 7888-5954
326939403,Brenda Ferrari Barros,1973-09-23,0-2000,(31) 8671-9313
512039606,Joao da Silva Ribeiro,2003-06-30,5000-8000,(86) 9142-6112
478206412,Ricardo Varella Sato,1968-05-09,5000-8000,(12) 9233-1234
337255882,Bruno Queiroz Manoel,1974-03-22,8000-12000,(21) 8972-9959
306450404,Katia de Marchi Fontes,1988-03-19,2000-5000,(12) 7811-2239
220068556,Rafael Okada da Silva,1973-12-13,8000-12000,(16) 7541-4896
371204486,Joao Vieira Gonzalez,1984-08-16,8000-12000,(15) 7667-2448
434950974,Simone Campos Bernardi,1965-07-02,12000+,(86) 8821-8713
590417117,Luciana Colombo Stefanelli,1995-08-10,0-2000,(79) 7130-5152
267003973,Carlos Barros Santos,2002-04-25,12000+,(16) 9187-4436
389528753,Leticia Almeida Morelli,1972-01-26,8000-12000,(13) 9786-3581
488005251,Teresa Rocha Ferri,1970-10-28,12000+,(74) 8265-5485
305811551,Pedro Rodrigues Meirelles,2000-01-15,0-2000,(19) 9328-9679
355221217,Luana Luca Gomes,1988-02-12,12000+,(19) 7750-4826
357444756,Osvaldo Campos Gomes,1984-12-31,5000-8000,(17) 8729-3287
406383993,Etori Silvestri Bernardi,1987-11-03,2000-5000,(31) 7299-5863
371879081,Thiago Mantovani Nicoletti,1994-10-01,8000-12000,(12) 8623-4873
474978022,Poliana Vieira Martinelli,1973-09-19,5000-8000,(21) 7669-8279
534262499,Laura Simom Bastos,2002-03-10,12000+,(12) 9709-4391
234995671,Andreia Vieira Zardetto,1994-12-11,5000-8000,(31) 9635-3141
344273828,Natalia Okada Ribeiro,1973-09-16,5000-8000,(19) 9340-2567
409840134,Carlos Moreira Caruso,1992-06-06,8000-12000,(74) 9201-2511
369968701,Juliana Ferreira Moreira,1964-09-07,0-2000,(79) 7008-7773
544956118,Katia Gomes Melo,1971-06-01,2000-5000,(17) 8098-8674
532034084,Wilson Moreno Duarte,2000-02-20,8000-12000,(74) 7765-7352
468435359,Nicole Mendes Moreno,1977-04-08,12000+,(21) 9827-1144
286327391,Pablo Wainer Moraes,1979-12-03,2000-5000,(79) 8934-2482
202854082,Renata Stefanelli Gentili,1976-08-30,5000-8000,(16) 8785-9275
555586758,Clara Teles Stefanelli,1977-05-14,5000-8000,(15) 9583-4733
210346435,Miquel Ambrosio Uehara,1984-03-17,0-2000,(17) 8342-3548
572995791,Thiago Manoel Ferrari,1986-03-10,5000-8000,(74) 7063-7988
557753228,Valeska Watanabe Perez,1963-05-14,2000-5000,(12) 7486-8725
426932855,Juliano Nascimento Fiore,1961-09-17,2000-5000,(21) 8907-3171
558187053,Eduardo Nogueira Zucatelli,1965-10-05,2000-5000,(13) 7651-5322
577449881,Regina Batista Ferreira,1979-10-29,2000-5000,(74) 7697-5978
312313400,Luiza Rocha Andrade,1969-07-10,2000-5000,(19) 9496-3421
252646095,Simone Watanabe Perez,1988-01-25,8000-12000,(31) 8705-2939
497640633,Juliano Costa Ramos,1984-09-09,5000-8000,(19) 9202-1598
420801289,Daniel Andrade Quaresma,2002-07-22,8000-12000,(19) 8639-5716
538095342,Luana Garcia Manoel,1996-04-24,5000-8000,(12) 9173-1726
365316805,Giulia Marques Mantovani,1980-08-26,8000-12000,(74) 9694-6328
314550498,Juliana Leite Bastos,1998-01-03,12000+,(31) 9279-6365
346856838,Zacarias Oliveira Nicoletti,1978-08-05,12000+,(31) 9371-2328
281158779,Mario Gomes Queiroz,1997-04-28,5000-8000,(86) 7540-7279
546423246,Matheus Villa Ferretti,1967-06-17,12000+,(86) 7058-4528
470589364,Amabile Klein Pereira,1982-10-25,0-2000,(17) 8851-3644
390683384,Juliana Cunha Ambrosio,1979-05-12,2000-5000,(13) 8199-5753
483311633,Pedro Manoel Bastos,1973-10-27,5000-8000,(16) 8089-6214
464899638,Mauricio Moreira Reis,2000-12-15,5000-8000,(19) 9134-9836
268518482,Enrico Barbosa Ramos,2001-04-25,8000-12000,(16) 7669-6719
424147088,Daiane Schmidt Queiroz,1964-03-06,2000-5000,(79) 7686-7973
240965776,Cristiane Toffoli Rizzo,1977-12-29,2000-5000,(13) 8206-6456
418185279,Carol Harper Lombardi,1977-12-03,2000-5000,(17) 7673-4671
248487188,Zacarias Zucatelli Costa,1991-06-29,12000+,(31) 7141-2233
283738024,Daniel Pierri Kropf,1992-10-25,12000+,(74) 8646-7921
286072735,Ana Ribeiro Antonelli,1987-12-06,0-2000,(19) 7414-9445
567222516,Paulo Ferretti Moreira,1965-06-04,2000-5000,(79) 9792-9576
423662052,Luciana Okada Luca,1988-02-20,8000-12000,(31) 7863-9585
596099810,Gustavo Romano Fiore,1997-01-20,0-2000,(31) 8943-6137
441775618,Danilo Machado Batista,1997-06-01,5000-8000,(15) 9587-1941
546056080,Lara Caruso Pinheiro,1991-09-03,5000-8000,(19) 8766-7215
569957078,Julio Mendes Teles,1974-09-18,12000+,(31) 8169-1446
505555091,Caio Marques Flora,1968-07-31,8000-12000,(79) 8802-6832
467663216,Luiza Zucatelli Mendes,1965-07-01,5000-8000,(12) 9039-9869
419637691,Isadora Lopes Lima,1984-01-11,0-2000,(12) 9791-1768
535551711,Alessandra Rodrigues Campos,1989-01-16,8000-12000,(16) 9377-4774
291310005,Rafael Amaral Santos,2002-07-13,8000-12000,(19) 9238-2431
326182178,Yuri Nardoni Barros,1998-11-01,5000-8000,(15) 9364-6535
322897814,Deisemara Bezerra Barros,1979-08-19,8000-12000,(12) 9644-9712
539932133,Maria Cunha Toffoli,1999-03-20,2000-5000,(74) 7464-3727
459727470,Teresa Rodrigues Correa,1982-08-25,5000-8000,(21) 9544-7884
594484365,Wilson Fiore Ferreira,1969-10-23,0-2000,(31) 7968-5446
540255615,Everton Pereira Wainer,1965-06-16,8000-12000,(86) 7392-1745
327788424,Cristina Carvalho Gonzalez,2000-12-06,2000-5000,(74) 8897-9623
361021198,Sofia Manoel Andrade,1991-03-24,5000-8000,(86) 7269-1645
322544315,Fabio Simas Luca,1967-03-10,2000-5000,(86) 8273-7975
593533484,Sinezio Camargo Correa,1987-04-17,8000-12000,(15) 8225-2991
375224260,Breno Moreno Padovani,1993-07-08,12000+,(21) 7460-9679
382289632,Luiza Ramos Quaresma,2000-08-15,0-2000,(31) 9185-9733
437089629,Pablo Girardi Camargo,1991-01-15,8000-12000,(21) 7141-6386
437907247,Etori Shutz Milani,1983-11-28,12000+,(17) 8157-9187
435486321,Sofia da Silva Barros,1978-09-20,0-2000,(79) 8614-3822
422621274,Renato Viana Rocha,1973-08-27,5000-8000,(79) 7698-4429
595194724,Amabile Gentili Simom,1971-02-23,5000-8000,(31) 8726-3199
311364805,Daniele Lozzano Gonzalez,1966-01-31,8000-12000,(12) 8513-7393
331746112,Alexandre Bernardi Okada,1965-12-01,0-2000,(79) 8226-2355
463466543,Guilherme Mendes Cardoso,1994-09-14,2000-5000,(16) 7871-6285
284975941,Jennifer Cunha Dias,1980-03-10,2000-5000,(79) 7228-4486
450105324,Isabela Fontes Leite,1984-06-09,8000-12000,(12) 8613-6744
406366579,Jennifer Mendes Almeida,1960-02-17,2000-5000,(21) 8229-1889
217727201,Valeska Quaresma Ferri,1994-04-04,0-2000,(31) 7404-9869
290492912,Giulia Nunes Stefanelli,2003-12-31,0-2000,(12) 8983-1865
296309505,Carla Andrade Monteiro,1999-06-28,2000-5000,(74) 9371-9113
294650394,Rafael Sato Zardetto,1963-02-28,2000-5000,(12) 8087-1322
483976840,Fernanda Quaresma Moreira,1993-03-12,12000+,(21) 8061-5738
425001961,Rita Lopes Manoel,1988-08-04,2000-5000,(21) 8970-4321
578943915,Miquel Gonzalez Santos,1963-03-24,2000-5000,(13) 8286-2486
560030521,Julia Borges Rossi,1985-06-14,2000-5000,(17) 9263-2719
528379920,Heloisa Nunes Soares,1984-04-21,5000-8000,(79) 7976-8529
237004560,Maria Moreno Luca,2002-03-27,12000+,(86) 9816-4845
497901579,Sinezio Milani Fernandes,1999-08-07,12000+,(74) 8369-2642
384934707,Marta Morelli Gonçalves,1970-07-13,8000-12000,(13) 7702-1742
378663538,Alexandre Colombo de Marchi,1985-01-02,5000-8000,(15) 9494-5882
585921151,Sergio Olimpio Nicoletti,1965-09-04,2000-5000,(19) 8439-2958
558321940,Laura Morelli Fonseca,1972-09-30,0-2000,(86) 9307-5246
226756026,Breno Lins Gomes,1991-05-09,12000+,(17) 8296-9645
460989402,Daniele Simas Gomes,1993-03-06,5000-8000,(13) 7815-8879
479272580,Cristina Weiss Machado,1970-01-19,12000+,(21) 8859-2587
484100791,Simone Monteiro Flora,1970-01-08,0-2000,(79) 9101-3913
293291716,Marcia Machado Ramos,1961-05-07,12000+,(16) 8891-7447
232261806,Jennifer Varella Ambrosio,1982-03-16,2000-5000,(16) 9566-8635
210974558,Heloisa Meirelles Ribeiro,1978-06-03,12000+,(17) 8305-4996
263984150,Frederico Pierri Nardoni,1975-10-27,8000-12000,(19) 8058-5637
313720611,Alexandre Gentili Pinheiro,1967-04-05,5000-8000,(13) 8227-5621
323459356,Sergio Cardoso Oliveira,1989-12-12,0-2000,(16) 7922-6131
576979856,Teresa Viana Rossi,1967-04-02,5000-8000,(86) 9259-3465
510509175,Sinezio Vilar Nogueira,1964-12-14,5000-8000,(86) 8453-3513
449851156,Giulia Meirelles Moreira,1979-07-30,8000-12000,(12) 8831-4777
591012122,Renata Girardi Dias,2001-08-08,8000-12000,(17) 8458-9354
230840499,Jennifer Souza Gentili,2001-12-13,8000-12000,(21) 7588-4324
212682466,Daniel Simom Bianchi,1969-08-19,8000-12000,(86) 7876-7954
316227014,Paulo Pinheiro Padovani,1996-05-25,0-2000,(21) 7979-1791
461631570,Marta Watanabe Cunha,1977-11-12,8000-12000,(16) 7715-5457
589605603,Everton Schmidt Prado,1969-10-26,0-2000,(13) 7769-6961
567809120,Rogerio Santana Lima,2003-12-05,12000+,(17) 8604-7577
471375544,Almir Reis Villa,2002-01-12,12000+,(12) 8922-5527
550771531,Juliana Fontes Ferrari,1978-02-11,0-2000,(19) 8195-6954
555524084,Beatriz Morelli Wainer,1962-07-17,5000-8000,(12) 8019-5922
302240551,Vinicius Girardi Garcia,2002-01-25,5000-8000,(13) 8693-7846
333847564,Lucia Antonelli Campos,1977-03-25,2000-5000,(74) 7888-5883
471515151,Isadora Carvalho Nogueira,1973-12-26,12000+,(86) 7622-6972
508070848,Yuri Cunha Ramos,1975-02-03,0-2000,(13) 9529-3291
210154420,Clara Duarte Teles,1969-11-03,2000-5000,(86) 8424-2979
334342264,Brenda Bianchi Romano,1979-06-10,2000-5000,(13) 9106-6836
541360334,Luana Gonçalves Moreno,1999-07-05,0-2000,(31) 7396-2824
523243773,Zacarias Gentili Flora,1974-01-14,0-2000,(16) 9878-9315
380799524,Hiago Okada Cunha,1984-09-21,0-2000,(31) 7140-8152
522024942,Rafael Miranda Fonseca,1979-05-17,5000-8000,(12) 9029-6138
298069667,Barbara Pinheiro Andrade,1989-09-02,5000-8000,(19) 7734-7415
302834971,Luciana Carvalho Oliveira,1986-03-08,2000-5000,(19) 8098-4897
309159130,Julio Flora Schmidt,1991-02-27,12000+,(86) 7938-5649
531935155,Charles Gomes Romano,1971-09-05,0-2000,(12) 7346-4339
334274305,Renato Amaral Flora,1998-03-28,5000-8000,(16) 8170-2966
510596785,Ana Varella Lima,1977-11-11,2000-5000,(86) 9254-1972
559488936,Joao Quaresma Soares,2001-07-18,2000-5000,(79) 7488-3334
583658422,Rita Lorenzetti Reis,1991-04-17,2000-5000,(12) 7821-5131
517170722,Tiago Fonseca Gentili,1992-05-07,8000-12000,(17) 9054-3654
424480615,Vinicius Gomes da Silva,1989-08-03,8000-12000,(15) 8645-2475
412858359,Luciana Silvestri Schmidt,1981-01-01,2000-5000,(16) 7078-4932
470601155,Andreia Melo Stefanelli,1991-02-25,2000-5000,(74) 7159-7913
554917484,Raquel Mendes Leite,1972-12-18,8000-12000,(79) 8708-8527
314847115,Airton Teixeira Simom,1981-09-08,0-2000,(15) 7011-6855
589127128,Cristiane Toffoli Muller,1963-07-23,2000-5000,(16) 8872-5562
387968517,Guilherme Weiss Meirelles,1985-03-18,0-2000,(13) 7180-7237
561120476,Gabriela Cunha Castro,1977-08-03,0-2000,(15) 7351-9114
220462592,Juliana Amaral Ramos,1978-07-05,8000-12000,(17) 8218-4267
407024979,Matheus Garcia Leite,1985-03-16,2000-5000,(86) 7992-1561
362907490,Marcia Romano Toffoli,1981-03-12,5000-8000,(31) 7055-2521
377960317,Renato Sato Kropf,1964-05-25,2000-5000,(86) 7987-1936
378515419,Deisemara Stefanelli Vieira,1964-01-10,8000-12000,(31) 7935-6583
458263311,Roberto Vieira Antonelli,1966-03-27,2000-5000,(79) 9547-9844
525255501,Mariana Mendes Villasboas,1964-06-17,2000-5000,(15) 7840-8524
531769766,Lucas Antonelli Klein,1964-06-24,5000-8000,(79) 8496-4295
487801476,Charles de Marchi Uehara,1999-11-13,5000-8000,(13) 7803-8173
222132806,Bruno Santana Miranda,1961-10-19,12000+,(74) 9244-2572
242016961,Cristiane Prado Freitas,1977-04-12,0-2000,(79) 9178-6553
218651099,Raquel Fonseca da Silva,1962-06-11,0-2000,(74) 7919-4829
305726071,Eduardo Camargo Arcuri,1991-10-07,8000-12000,(79) 7135-1822
281013414,Felipe Mantovani Garcia,1970-11-21,2000-5000,(86) 8313-5433
514162291,Everton Esteves Pinheiro,1980-03-23,0-2000,(16) 9179-2433
585847003,Raquel Almeida Amorim,1990-06-09,2000-5000,(17) 8433-7272
326753805,Juliana Girardi Pelegrino,1962-09-14,8000-12000,(13) 9629-1965
469441381,Raquel Arcuri Miranda,1974-07-27,8000-12000,(74) 9401-8615
226502659,Vitoria Moreno Luca,1985-07-08,2000-5000,(21) 9730-1767
295341139,Danilo Vieira Freitas,1994-12-06,2000-5000,(17) 7652-9556
409217762,Amabile Ferri da Silva,1965-08-17,12000+,(15) 9596-9199
318959770,Matheus Ambrosio Santos,1974-09-20,0-2000,(15) 7166-9741
357427939,Willian Miranda Muller,1994-02-16,2000-5000,(19) 8498-3977
473798722,Enrico Carvalho Souza,1979-11-15,2000-5000,(19) 7245-2598
419194701,Mario Miranda Cunha,1976-01-18,8000-12000,(21) 7059-1926
416464427,Hiago Mendes Dias,1979-05-25,2000-5000,(16) 9473-6277
292694838,Carla Nicoletti Moreira,1966-01-02,8000-12000,(16) 9634-6531
580484676,Bruno Nascimento Girardi,1973-03-26,2000-5000,(12) 9691-1627
424334893,Lucia Carvalho Ambrosio,1961-01-15,2000-5000,(31) 9643-1699
434442623,Francisco Menezes Fiore,1993-01-02,12000+,(15) 7507-9425
553191120,Raquel Campos Melo,1997-09-21,12000+,(74) 9717-4979
383403484,Mariana Ferretti Oliveira,1995-10-30,5000-8000,(86) 8139-9544
587430538,Zacarias Gomes Rocha,1962-11-03,8000-12000,(19) 9775-4816
571304829,Teresa Manoel Medeiros,1987-11-25,5000-8000,(15) 9436-3326
474806304,Augusto Colombo Silvestri,1989-10-15,2000-5000,(19) 8730-9385
516552484,Zacarias Caruso da Silva,1967-02-22,5000-8000,(74) 9661-9847
469633926,Daiane Girardi Almeida,2003-03-15,0-2000,(86) 8532-2856
536083440,Airton Moraes Ferretti,1995-11-01,12000+,(21) 8018-1189
222587544,Lucia Rizzo Gomes,1991-06-04,5000-8000,(31) 9111-3328
506804599,Matheus Antonelli Ramos,1975-01-08,0-2000,(15) 8841-3731
578984983,Ricardo Moreira Martinelli,1972-12-22,5000-8000,(21) 8056-1676
475848743,Etori Zucatelli Kropf,1968-11-24,8000-12000,(12) 7315-9344
527186646,Pablo Schmidt Ferretti,1963-01-23,0-2000,(86) 7928-6637
207432729,Frederico Carvalho Souza,1987-10-11,12000+,(19) 7980-2958
271895702,Luiz Flora Simom,1989-11-16,2000-5000,(12) 9829-9141
319038561,Gustavo Villasboas Zardetto,2003-10-16,0-2000,(13) 9168-5278
488428188,Nicole Carvalho Olimpio,2001-01-13,5000-8000,(86) 9431-4523
298075494,Thiago Souza Carvalho,1994-01-01,12000+,(74) 7171-6518
290601666,Gustavo Ramos Ferri,1972-06-02,12000+,(31) 7669-9878
283347423,Vitor Ferrari Moreira,1984-12-03,8000-12000,(74) 7475-5739
443389005,Jorge Lins Villa,1971-01-14,8000-12000,(16) 7126-2433
250167240,Alessandra Girardi Nascimento,1992-07-03,8000-12000,(13) 8027-4284
